INFO 2025-03-16 20:12:34,226 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-16 20:12:34,621 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\drf_yasg\renderers.py first seen with mtime 1726224764.0903146
DEBUG 2025-03-16 20:12:34,621 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\swagger_spec_validator\ref_validators.py first seen with mtime 1726224944.624692
DEBUG 2025-03-16 20:12:34,621 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\socketserver.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,621 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1722849419.3719018
DEBUG 2025-03-16 20:12:34,621 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\DLLs\select.pyd first seen with mtime 1680644872.0
DEBUG 2025-03-16 20:12:34,621 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\wsgiref\__init__.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,621 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\sqlparse\filters\tokens.py first seen with mtime 1722849419.372882
DEBUG 2025-03-16 20:12:34,621 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\core\files\storage\base.py first seen with mtime 1726143450.2891073
DEBUG 2025-03-16 20:12:34,621 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\yaml\representer.py first seen with mtime 1726224763.9064398
DEBUG 2025-03-16 20:12:34,621 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\DLLs\_decimal.pyd first seen with mtime 1680644872.0
DEBUG 2025-03-16 20:12:34,621 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\coreapi\transports\__init__.py first seen with mtime 1726223265.0970254
DEBUG 2025-03-16 20:12:34,621 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\asyncio\__init__.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,621 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1726143450.2807987
DEBUG 2025-03-16 20:12:34,621 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\unittest\util.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,621 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\core\files\move.py first seen with mtime 1726143450.2891073
DEBUG 2025-03-16 20:12:34,627 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\views\generic\list.py first seen with mtime 1726143450.5957785
DEBUG 2025-03-16 20:12:34,627 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\coreschema\encodings\html.py first seen with mtime 1726223265.0454607
DEBUG 2025-03-16 20:12:34,627 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\urllib3\fields.py first seen with mtime 1726223264.2378452
DEBUG 2025-03-16 20:12:34,627 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\urllib\parse.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,627 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\markdown\preprocessors.py first seen with mtime 1731858758.2122793
DEBUG 2025-03-16 20:12:34,627 autoreload File C:\Users\galus\PycharmProjects\pythonProjectComixSite\drf\comix\apps.py first seen with mtime 1734519257.245636
DEBUG 2025-03-16 20:12:34,627 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\contrib\admin\views\__init__.py first seen with mtime 1726143448.0704236
DEBUG 2025-03-16 20:12:34,629 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\urllib3\_base_connection.py first seen with mtime 1726223264.2285252
DEBUG 2025-03-16 20:12:34,629 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\utils\translation\__init__.py first seen with mtime 1726143450.5794263
DEBUG 2025-03-16 20:12:34,629 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\jinja2\idtracking.py first seen with mtime 1726223264.9009547
DEBUG 2025-03-16 20:12:34,629 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\contrib\postgres\fields\__init__.py first seen with mtime 1726143449.4402804
